Namespace(cpu=False, exp_name='loop', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-ab8ymzk3
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=331.5118103027344, F_max=1.3647247552871704
C_max=341.5313720703125, F_max=1.372981071472168
C_max=343.51611328125, F_max=1.3789085149765015
C_max=339.213623046875, F_max=1.3803608417510986
C_max=362.7861328125, F_max=1.3765186071395874
C_max=357.943359375, F_max=1.367584466934204
C_max=321.453125, F_max=1.354438304901123
C_max=297.5146484375, F_max=1.3388230800628662
C_max=280.5146484375, F_max=1.323141098022461
iter [3/500]: lr=3e-02, loss=8.0697, E=1047.31, E_gt=1351.12; nu=0.2293, nu_gt=0.0840; C_dist=1786.18; F_dist=0.01
C_max=414.53125, F_max=1.0708889961242676
C_max=403.58203125, F_max=1.0673218965530396
C_max=417.12109375, F_max=1.0656071901321411
C_max=425.6259765625, F_max=1.078570008277893
C_max=430.0078125, F_max=1.0924248695373535
C_max=429.95703125, F_max=1.1069111824035645
C_max=424.5634765625, F_max=1.1212131977081299
C_max=413.13427734375, F_max=1.134210467338562
C_max=396.1015625, F_max=1.144841194152832
C_max=374.76220703125, F_max=1.1523361206054688
C_max=350.642578125, F_max=1.1562694311141968
C_max=325.123779296875, F_max=1.156230092048645
C_max=299.2489929199219, F_max=1.1519899368286133
C_max=284.184326171875, F_max=1.1449284553527832
C_max=284.968505859375, F_max=1.1605461835861206
C_max=273.068603515625, F_max=1.1755343675613403
C_max=251.45489501953125, F_max=1.1888598203659058
C_max=257.140625, F_max=1.1997445821762085
C_max=270.138671875, F_max=1.2073677778244019
C_max=311.811767578125, F_max=1.210731029510498
C_max=342.369384765625, F_max=1.2090765237808228
C_max=347.45751953125, F_max=1.202984094619751
C_max=320.0439453125, F_max=1.1947120428085327
C_max=272.7451171875, F_max=1.1883653402328491
C_max=233.326171875, F_max=1.186105728149414
C_max=258.26953125, F_max=1.192336916923523
C_max=280.515625, F_max=1.1997350454330444
C_max=292.154296875, F_max=1.2007728815078735
C_max=287.974609375, F_max=1.1974385976791382
C_max=276.626953125, F_max=1.192179560661316
C_max=260.046875, F_max=1.1868997812271118
C_max=246.1875, F_max=1.1911226511001587
C_max=240.8740234375, F_max=1.1989197731018066
C_max=240.19140625, F_max=1.2057654857635498
C_max=236.3515625, F_max=1.210827350616455
C_max=230.787109375, F_max=1.2136059999465942
C_max=241.080078125, F_max=1.2141766548156738
C_max=258.5703125, F_max=1.2130908966064453
C_max=278.9609375, F_max=1.211043119430542
